critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
a-kaye-parkinson,rotten,,a_smile_like_yours,It is easy to see why Greg Kinnear always looks like he has a tear in his eye. Presumably this movie bored him to tears.,A Smile like Yours (1997)
a-scott-walton,rotten,,1093551-best_man,"This film oversimplifies the concept of unrequited love, and over-romanticizes the notion of everlasting love.",The Best Man (1999)
aa-dowd,rotten,C-,all_cheerleaders_die,What happened to Lucky McKee?,All Cheerleaders Die (2014)
aa-dowd,fresh,B+,godzilla_2014,"Edwards makes the leap to the majors with confidence, adapting his grounded approach to sci-fi to a much larger scale.",Godzilla (2014)
aa-dowd,fresh,B-,neighbors_2014,"Neighbors is a bit of a mess, neither outrageous nor thoughtful enough to compensate for its lack of narrative imagination. But the film is also not without its modest pleasures.",Neighbors (2014)
aa-dowd,rotten,C+,chef_2014,"For Swingers fans, seeing Favreau make something small again might be worth it-even if the results are more appetizing in theory than in execution.",Chef (2014)
aa-dowd,rotten,C+,the_quiet_ones_2013,"The Quiet Ones is a pretty ironic title for a horror film whose primary scare tactic is to periodically crank up the volume, sending the needle to the red with a sudden spike in the decibel levels.",The Quiet Ones (2014)
aa-dowd,rotten,C+,the_amazing_spider_man_2,"Even at a hefty 142 minutes, The Amazing Spider-Man 2 hasn't the time for its surfeit of plot, nor for the sprawling ensemble of supporting characters caught in the sticky web Webb weaves.",The Amazing Spider-Man 2 (2014)
aa-dowd,rotten,C,locke,"Locke, as fascinating as it is in theory, never evolves into anything more than a glorified acting exercise.",Locke (2014)
aa-dowd,fresh,A-,blue_ruin,Blue Ruin is as visually striking as one might expect a film helmed by a talented cinematographer to be. But Saulnier has more than a great eye; he's got the soul of a natural filmmaker ...,Blue Ruin (2014)
aa-dowd,fresh,B-,proxy,Proxy's greatest attribute is its deliberate dismantling of the audience's assumptions. Writer-director Zack Parker has made a genre whatsit whose central mystery lies in the stealth motivations of its characters.,Proxy (2014)
aa-dowd,rotten,C-,transcendence_2014,"The film rages, dully and impotently, against a future that has more or less already arrived.",Transcendence (2014)
aa-dowd,fresh,B-,the_railway_man,"Along the way, The Railway Man accumulates some power and insight, but it's also hard to shake the feeling that a complicated first-person account has been given the Weinstein treatment.",The Railway Man (2014)
aa-dowd,fresh,A-,only_lovers_left_alive,"Laying eyes on the film's piles upon piles of valuable junk-old recording equipment, leather-bound novels, cosmetic clutter-is a bit like rummaging through the director's attic.",Only Lovers Left Alive (2014)
aa-dowd,fresh,B-,oculus,"Oculus doesn't exactly shatter the clichés of the genre, but it does distort them in a couple of interesting ways, beginning with a creative reversal of the usual vengeful-spirit plot ...",Oculus (2014)
aa-dowd,fresh,B,joe_2013,"What's commendable about Cage's performance, given his usual tendency to go as far over the top as possible, is the way the actor downplays even the occasional surge of violent emotion.",Joe (2014)
aa-dowd,fresh,A-,under_the_skin_2013,"Under The Skin lets its nightmarish imagery do the talking, forgoing explanation in favor of total sensory immersion.",Under the Skin (2014)
